First line of third CSV;Placement;Date;DBM Cost (Account Currency);OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_fidelisation-terminal_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait-multi-ligne_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-offre-mobile_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-migration-xdsl-vers-fibre_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-fibre_2018-05: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_migration-open-xdsl-vers-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-xdsl_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-xdsl_2018-01: Total Conversions;SH-Mobile-Livebox_2018-01_Sales : sh_mobile-livebox_cv_acq-offre-convergente_2018-01: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-adsl_2018-08: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-fibre_2018-10: Total Conversions
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native1_cpm_mob_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native2_cpm_web_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native3_cpm_mob_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Sosh Mobile;22330690_tradelab_terminaux_std_320x480_cpm_mob_dis-iab_rtg_npa_retargeting_dbm_1st-tms_sosh_kpi4-terminaux-mobile;19/02/2019;2.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Sosh Mobile;22330690_tradelab_terminaux_std_728x90_cpm_web_dis-iab_rtg_npa_retargeting_dbm_1st-tms_sosh_kpi4-terminaux-mobile;19/02/2019;90.44;0.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Sosh Mobile;22330690_tradelab_terminaux_std_970x250_cpm_web_dis-eve_rtg_npa_retargeting_dbm_1st-tms_sosh_kpi4-terminaux-mobile;19/02/2019;12.95;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Last line of third CSV;---;---;13367.25;7.00;29.00;8.00;13.00;51.00;14.00;3.00;1.00;1.00;0.00;8.00;0.00;0.00;11.00;9.00
