First line of second CSV;;;;;;;;;;;;;;;;;;
Date/Time Generated;2/20/19 4:39 AM;;;;;;;;;;;;;;;;;
Report Time Zone;Europe/Paris;;;;;;;;;;;;;;;;;
Account ID;743372;;;;;;;;;;;;;;;;;
Date Range;2/19/19 - 2/19/19;;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Orange Internet (8364571);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Orange Mobile (8365738);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Sosh Internet (8364841);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Sosh Mobile (8364118);;;;;;;;;;;;;;;;;
MRC Accredited Metrics;None;;;;;;;;;;;;;;;;;
Report Fields;;;;;;;;;;;;;;;;;;
Header of second CSV at line 12;Placement;Date;DBM Cost (Account Currency);OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_fidelisation-terminal_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait-multi-ligne_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-offre-mobile_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-migration-xdsl-vers-fibre_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-fibre_2018-05: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_migration-open-xdsl-vers-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-xdsl_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-xdsl_2018-01: Total Conversions;SH-Mobile-Livebox_2018-01_Sales : sh_mobile-livebox_cv_acq-offre-convergente_2018-01: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-adsl_2018-08: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-fibre_2018-10: Total Conversions
FR Orange Internet;22183140_tradelab_odr_std_320x480_cpm_mob_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;13.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_320x50_cpm_mob_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;9.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_728x90_cpm_web_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;31.57;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_970x250_cpm_web_dis-eve_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;8.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native1_cpm_mob_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native1_cpm_mob_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native1_cpm_web_dis-nat_prosp_npa_lookalike_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native1_cpm_web_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native1_cpm_web_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_mob_dis-nat_prosp_npa_lookalike_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;20.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_mob_dis-nat_prosp_npa_profiling_dbm_2nd-tl___or-fai_kpi1-acquisition-bb;19/02/2019;14.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_mob_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;14.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_mob_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;29.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_web_dis-nat_prosp_npa_lookalike_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;10.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_web_dis-nat_prosp_npa_profiling_dbm_2nd-tl___or-fai_kpi1-acquisition-bb;19/02/2019;14.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_web_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;11.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native2_cpm_web_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_mob_dis-nat_prosp_npa_lookalike_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;20.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_mob_dis-nat_prosp_npa_profiling_dbm_2nd-tl___or-fai_kpi1-acquisition-bb;19/02/2019;3.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_mob_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;46.63;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_mob_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_web_dis-nat_prosp_npa_lookalike_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;9.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_web_dis-nat_prosp_npa_profiling_dbm_2nd-tl___or-fai_kpi1-acquisition-bb;19/02/2019;3.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_web_dis-nat_prosp_npa_profiling_dbm_3rd-semantique___or-fai_kpi1-acquisition-bb;19/02/2019;59.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_pcc_multi-format-native3_cpm_web_dis-nat_prosp_npa_prospectionalgo_dbm___or-fai_kpi1-acquisition-bb;19/02/2019;0.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_120x600_cpm_web_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;0.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_120x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;0.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_120x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;0.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_120x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_120x600_cpm_web_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;6.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_160x600_cpm_web_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;1.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_160x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;5.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_160x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;2.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_160x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;0.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_160x600_cpm_web_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;3.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_mob_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;25.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;9.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;18.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_mob_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;4.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_web_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;0.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_web_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;22.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;4.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x250_cpm_web_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;55.29;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x50_cpm_mob_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;0.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;3.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;3.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x50_cpm_mob_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;5.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x600_cpm_web_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;16.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;10.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;11.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x600_cpm_web_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_300x600_cpm_web_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;49.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_320x50_cpm_mob_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;79.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_320x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;30.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_320x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-classique__or-fai_kpi1-acquisition-bb;19/02/2019;112.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_320x50_cpm_mob_dis-iab_prosp_npa_profiling_dbm_3rd-semantique__or-fai_kpi1-acquisition-bb;19/02/2019;11.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_320x50_cpm_mob_dis-iab_prosp_npa_prospectionalgo_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;59.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_728x90_cpm_web_dis-iab_prosp_npa_lookalike_dbm_ __or-fai_kpi1-acquisition-bb;19/02/2019;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22186586_tradelab_acquisition-fibre_std_728x90_cpm_web_dis-iab_prosp_npa_profiling_dbm_2nd-tl__or-fai_kpi1-acquisition-bb;19/02/2019;4.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
